dataset,seed,bearing,nominal,picp,mpiw,q,n_cal
xjtu_sy,s44,35Hz12kN_Bearing1_5,0.8,1.0,0.8491,0.4246,491
xjtu_sy,s44,35Hz12kN_Bearing1_5,0.9,1.0,1.1802,0.5901,491
xjtu_sy,s44,37.5Hz11kN_Bearing2_1,0.8,0.8411,0.9828,0.4914,161
xjtu_sy,s44,37.5Hz11kN_Bearing2_1,0.9,0.8961,1.163,0.5815,161
xjtu_sy,s44,37.5Hz11kN_Bearing2_2,0.8,0.5342,0.3252,0.1626,533
xjtu_sy,s44,37.5Hz11kN_Bearing2_2,0.9,0.6335,0.5013,0.2507,533
xjtu_sy,s44,37.5Hz11kN_Bearing2_3,0.8,0.8424,0.404,0.202,42
xjtu_sy,s44,37.5Hz11kN_Bearing2_3,0.9,0.9662,0.5791,0.2895,42
xjtu_sy,s44,37.5Hz11kN_Bearing2_4,0.8,0.9048,0.5443,0.2721,339
xjtu_sy,s44,37.5Hz11kN_Bearing2_4,0.9,0.9286,0.5871,0.2935,339
xjtu_sy,s44,37.5Hz11kN_Bearing2_5,0.8,0.9499,0.6953,0.3477,2538
xjtu_sy,s44,37.5Hz11kN_Bearing2_5,0.9,1.0,0.9892,0.4946,2538
xjtu_sy,s44,40Hz10kN_Bearing3_1,0.8,0.7892,0.6586,0.3293,2496
xjtu_sy,s44,40Hz10kN_Bearing3_1,0.9,0.8684,0.9009,0.4504,2496
xjtu_sy,s44,40Hz10kN_Bearing3_2,0.8,0.7752,0.6056,0.3028,371
xjtu_sy,s44,40Hz10kN_Bearing3_2,0.9,0.9042,0.9146,0.4573,371
xjtu_sy,s44,40Hz10kN_Bearing3_3,0.8,0.9353,1.0174,0.5087,1515
xjtu_sy,s44,40Hz10kN_Bearing3_3,0.9,0.9946,1.2862,0.6431,1515
xjtu_sy,s44,40Hz10kN_Bearing3_4,0.8,0.9696,1.5078,0.7539,114
xjtu_sy,s44,40Hz10kN_Bearing3_4,0.9,0.9828,1.5494,0.7747,114
xjtu_sy,s44,40Hz10kN_Bearing3_5,0.8,0.3421,0.4965,0.2483,123
xjtu_sy,s44,40Hz10kN_Bearing3_5,0.9,0.3421,0.506,0.253,123
